name,desc,filesize,created,last_modified
e2fsprogs,DESC-TODO,5561452,1565893472,1302129055
i2c-tools,DESC-TODO,72084,1469298614,1469298614
9base,DESC-TODO,1045868,1565926387,1302282089
abiword,DESC-TODO,9218827,1521151937,1378033195
ubase-passwd,DESC-TODO,,1539486068,1461614704
m2c,DESC-TODO,212463,1441973438,1438825131
qemu,DESC-TODO,22532960,1536783294,1354833475
eet,DESC-TODO,680487,1554258156,1352493367
acl,DESC-TODO,524300,1554251911,1390226504
i3-wm,DESC-TODO,1121298,1510838110,1397662358
m4,the GNU m4 shellscript macro preprocessor. used heavily by autoconf/make,1207688,1556131768,1302043414
ubase-tarball,DESC-TODO,40096,1461614704,1461614704
qemu13,DESC-TODO,10286423,1441973438,1354833475
efibootmgr-git,DESC-TODO,,1429972836,1429972836
acpi,DESC-TODO,100501,1469302061,1469302061
i3status,DESC-TODO,54970,1486887601,1486887601
macchanger,DESC-TODO,306344,1534615516,1534615516
uboot,DESC-TODO,10067674,1441973438,1392226042
efivar-git,DESC-TODO,,1429972836,1429972836
aee,minimalistic editor for curses and x11,186304,1554253066,1510948727
qemu170,DESC-TODO,12248954,1471561363,1354833475
iconv,DESC-TODO,,1441292100,1400910064
make,the standard build tool for *nix source packages,1242186,1535173373,1302367645
eina,DESC-TODO,9938509,1441973438,1352475515
ucl,DESC-TODO,534881,1495580901,1340308864
afl-fuzz,powerful instrumented binary fuzzer,835907,1513122051,1437152926
qpdf,DESC-TODO,7556793,1441973438,1340308864
icu,DESC-TODO,22706578,1521215552,1383003148
unbound,"validating, recursive, and caching DNS resolver and library",5676395,1561763345,1340308864
makebootfat,DESC-TODO,146722,1441973438,1340308864
ags,adventure game studio engine to play several hundreds of free ags games,864688,1550012158,1442325516
eject,DESC-TODO,,1463567611,1390356026
iftop,DESC-TODO,160381,1456286181,1341608981
qrencode,DESC-TODO,429244,1507048494,1340308864
aiksaurus,DESC-TODO,928893,1441973438,1378017821
makedepend,DESC-TODO,143498,1552960010,1352150315
electrum,lighweight bitcoin client written in python. blockchain is used remotely.,666900,1450817706,1383954953
uncrustify,DESC-TODO,1149607,1441973438,1390630033
ifuse,mount iphone filesystem,19785,1544043111,1340308864
aircrack-ng,cracking/monitoring/security assessment tool for wireless networks,4379880,1530281019,1392098117
qt4,DESC-TODO,241075567,1537476327,1356579711
enchant,DESC-TODO,607018,1557373128,1340308864
makedev-debian,DESC-TODO,9924,1441973438,1384363129
ijs,DESC-TODO,257476,1441973438,1384270446
unicorn,DESC-TODO,3241225,1554261276,1485395367
allegro4,DESC-TODO,4759422,1563850870,1385336691
endgame-singularity,strategy game,2265133,1463099729,1463099729
qt5,DESC-TODO,320459924,1536737669,1457548265
imagemagick,DESC-TODO,8261496,1495594643,1340308864
makedev-debian-patch,DESC-TODO,49972,1441973438,1384363129
alpine-keys,DESC-TODO,5307,1516910464,1516910464
endgame-singularity-music,DESC-TODO,51774799,1463099729,1463099729
unionfs-fuse,DESC-TODO,38600,1441973438,1378473467
imake,utility for creating/using imake files - from xorg-utils,195387,1510441509,1340308864
queue-h,DESC-TODO,25249,1463482384,1463482384
alsa-lib,DESC-TODO,1002562,1547918935,1334535663
man,DESC-TODO,,1461948774,1332032707
entr,DESC-TODO,25265,1540324494,1540324494
unrar,extractor for RAR archives,209707,1450635814,1410401342
alsa-plugins,DESC-TODO,375346,1547918935,1340308864
imlib2,DESC-TODO,891876,1459687280,1352697467
quickjs,DESC-TODO,739740,1565217350,1565217350
mandoc,manpage viewer. recommended to use instead of sabotage's minimal man prog,627229,1539504514,1447000777
epdfview,DESC-TODO,466270,1504122388,1358554855
alsa-utils,DESC-TODO,1262174,1547918935,1334535663
imv,DESC-TODO,45218,1565144469,1565144469
unzip,DESC-TODO,1376845,1450721664,1431610201
quilt,quilt is for managing large sets of patches with make,410780,1550274673,1340308864
mawk,ancient awk implementation used by debian derivates,460819,1513119272,1340308864
erlang,DESC-TODO,68124710,1456286181,1340308864
angband,"nethack-style dungeon exploration game, optional with graphics",20907673,1456285593,1402244462
indent,DESC-TODO,702667,1441973438,1340308864
upx,DESC-TODO,904747,1495587229,1411231385
radare2,reverse engineering and (dis)assembling framework,5014612,1478901455,1340308864
mbedtls,DESC-TODO,2506425,1546153663,1438524487
ethtool,DESC-TODO,221932,1546152882,1402079618
apache,DESC-TODO,5031834,1441973438,1352533186
initramfs,DESC-TODO,,1480875062,1477492066
apk-tools,alpine linux binary package manager,129852,1530281019,1516910464
eudev,DESC-TODO,1679385,1564241147,1380161510
mc,midnight commander - terminal file manager (norton commander clone),2538524,1554004528,1361491610
uredir,udp redirection/forwarding utility,92028,1500212072,1478337068
randrproto,DESC-TODO,142168,1495405755,1311106590
inkscape,vector graphic manipulation program,31222684,1521168932,1357331476
mcpp,most standards-conforming C preprocessor,1533457,1514867391,1340308864
apr,DESC-TODO,785724,1441973438,1330656766
evas,DESC-TODO,10261143,1459815208,1352537214
urxvt,DESC-TODO,931198,1456263739,1383336740
innoextract,extraction of windows installers in .exe format created with innosetup,195123,1558031374,1442232232
re2c,DESC-TODO,5907416,1539397462,1340723508
apr-iconv,DESC-TODO,1233989,1441973438,1340693469
mdadm,utility used to manage and monitor software RAID devices,430780,1558824849,1359820754
evas-generic-loaders,DESC-TODO,258286,1459815208,1352534055
inputproto,DESC-TODO,195642,1510709283,1311106590
usb-modeswitch,tool to switch 3G USB modems from storage to modem mode,259820,1519081190,1403300121
readline,DESC-TODO,,1350094923,1350044537
apr-util,DESC-TODO,635000,1441973438,1330656766
evince,DESC-TODO,3523623,1504122388,1357231664
meh,An ultra minimalist image viewer based on feh using giflib and imagemagick.,12856,1510451327,1510438513
intltool,DESC-TODO,162286,1510443126,1333041169
aqemu,DESC-TODO,1025129,1441973438,1382737994
usb-modeswitch-data,DESC-TODO,32423,1486429398,1403300121
expat,library to interface with XML files,424264,1561812049,1302888397
reaver,cracking tool for WIFI routers with WPS feature,333580,1517159576,1399860004
menu-cache,DESC-TODO,262508,1472729392,1342748791
iodine,client and server to route traffic over DNS,99061,1546152366,1482681530
argp,DESC-TODO,130255,1500840512,1410401332
usbmuxd,DESC-TODO,59013,1544043111,1340308864
expect,DESC-TODO,632363,1554259432,1540876456
recordproto,DESC-TODO,123033,1537322553,1311106590
mercurial,distributed version control system written in python,5132169,1488576508,1333691338
iotop,monitoring of system i/o,29779,1521216705,1387740066
aria2,bloated C++-11 download utility. supports torrents/magnet.,1525908,1553103335,1450213267
expedite,DESC-TODO,6119479,1441973438,1352533186
usbutils,DESC-TODO,309608,1539486068,1355294181
arj,DESC-TODO,431467,1486865267,1340308864
redir,port redirection/forwarding utility,80068,1485137189,1478337068
iptables,DESC-TODO,639785,1519089510,1342758294
mesaglut,DESC-TODO,297504,1441973438,1375642860
extlinux,DESC-TODO,5340791,1565042850,1302184978
arp-scan,DESC-TODO,488442,1478080400,1340308864
util-linux,DESC-TODO,,1521212027,1372717029
iris-floss,eye-friendly blue light reduction software,15574,1495557267,1495557267
mesalib,DESC-TODO,9179236,1564241147,1375642825
redis,DESC-TODO,1550452,1507048358,1441226087
extra-cmake-modules,DESC-TODO,303064,1527991423,1527991423
asciidoc,DESC-TODO,900422,1442746845,1382222679
irssi,console IRC client,1084328,1547919865,1341701480
util-linux-tarball,DESC-TODO,3368432,1565680960,1390760963
mesalib-radeon,DESC-TODO,9179236,1541593735,1375642825
redshift,DESC-TODO,377372,1553971365,1510443514
atk,gnome accessibility toolkit,748972,1535956005,1342740069
faenza-audio-icons,DESC-TODO,65536,1472479908,1472479908
iw,DESC-TODO,114096,1519089336,1388681922
reflex,"flex, but less buggy and better posix compliance",461872,1539622845,1340308864
mhash,DESC-TODO,655906,1490061543,1340308864
util-macros,DESC-TODO,79105,1441973438,1316404565
atk-bridge-fake,dummy atk-bridge to be able to build gtk+3 without hard dbus deps,692,1450817706,1432919283
feh,command-line oriented X11 image viewer,2127763,1487374870,1352701887
ixchat,GTK+ IRC client based on latest xchat2 release + some hexchat backports,410676,1530281019,1356463734
remake,fork of GNU make with integrated debugger,1152677,1480612939,1302367645
atkmm,C++ bindings for the atk library,562892,1463664502,1357330591
microsocks,tiny socks5 server,8056,1546128242,1488390510
v4l-utils,DESC-TODO,1672765,1528814185,1340308864
ffmpeg,DESC-TODO,8890608,1546152945,1377904157
jamvm,lightweight java vm (needed to run java programs),741459,1462556376,1340308864
ats,the ATS programming language,3289626,1450817706,1340308864
file,analyzes files and often outputs helpful information,865425,1546152991,1302547266
midori,DESC-TODO,1092309,1441973438,1383160891
renderproto,DESC-TODO,105741,1537322572,1311106590
vala,DESC-TODO,2627808,1441973438,1352533186
jansson,json library,404669,1546153245,1402243777
attr,DESC-TODO,343692,1448285047,1347674098
firefox,DESC-TODO,214087304,1532397743,1383196106
milkytracker,DESC-TODO,3753882,1549296450,1357155927
reptyr,DESC-TODO,29994,1516300772,1516300772
vbindiff,curses program to highlight differences in binary files,128406,1505138189,1340308864
jbig2dec,DESC-TODO,472271,1546153275,1401799815
audacity,audio editor and recording app written in C++,6794285,1486483041,1357160610
mimalloc,DESC-TODO,477796,1565217871,1442232232
fixesproto,DESC-TODO,100886,1537322413,1302547266
autoconf,tool for producing configure scripts,1214744,1483630212,1302630101
resourceproto,DESC-TODO,102992,1537322764,1311106590
jmtpfs,fuse driver to mount android mtp filesystems,142914,1515038770,1340308864
vice,C64 emulator,30714226,1496325070,1496325070
mini-httpd,DESC-TODO,43889,1546153683,1511817995
flex,DESC-TODO,1612101,1441973438,1302547266
rpcsvc-proto,DESC-TODO,149354,1554162618,1340308864
autoconf213-tarball,"ancient autoconf version, required for firefox build",443844,1500303440,1500303440
jobflow,parallel execution of command line tasks,35736,1521520400,1462380908
videoproto,DESC-TODO,118862,1441973438,1311106590
fltk13,DESC-TODO,4260874,1521151716,1352488822
miniupnpc,DESC-TODO,70074,1461088292,1357147800
automake,automated makefile generator,1534936,1546128470,1302630101
rsync,DESC-TODO,905908,1564561222,1352533186
john,password hash cracker,33638768,1557981636,1443214306
vile,vi like emacs: a vi-clone based on micro-emacs to get the best of both,2109000,1539622882,1340308864
fluid-soundfont-gm,DESC-TODO,148398306,1441973438,1387460138
autossh,automatically restarts ssh connections,67599,1547919356,1340308864
mkfontdir,DESC-TODO,108195,1537121707,1340308864
rsyslog,DESC-TODO,3027663,1530281019,1390768875
join,DESC-TODO,,1489276775,1489276775
fluid-soundfont-gs,DESC-TODO,3201926,1441973438,1387460138
vim,a terminal-based text editor with a gazillion of features,11258868,1542338398,1302547266
avrdude,DESC-TODO,909744,1462136479,1395486706
mkfontscale,DESC-TODO,139923,1441973438,1340308864
json-c,DESC-TODO,390179,1477497524,1341291819
rtmpdump,DESC-TODO,142213,1530281019,1490477664
fluidsynth,DESC-TODO,823783,1510793726,1346208080
awesome,DESC-TODO,723084,1481929553,1424975482
virt-manager,DESC-TODO,1773882,1441973438,1382950751
mksh,DESC-TODO,417218,1519087988,1341608981
font-util,DESC-TODO,153289,1457548036,1340308864
json-glib,DESC-TODO,604336,1490290499,1340308864
vis,DESC-TODO,390461,1539205202,1340308864
rtorrent,bittorrent p2p filesharing client,610845,1456578657,1365044398
b2sum,A tool similar to the md5sum or shasum utilities but for BLAKE2.,502996,1457136284,1457136284
mmix,simulator and utils for donald knuth's MMIX architecture,308423,1549849493,1540070212
fontconfig,DESC-TODO,1723639,1553982692,1316404565
jsoncpp,DESC-TODO,200226,1519930661,1442232232
babl,support lib for gegl for color-space conversions,685707,1546152622,1357164452
visualboyadvance,"emulator for gameboy, gameboy color and gameboy advance",210060,1458939381,1404081681
ruby,interpreter for the ruby scripting language,15834941,1530281019,1363068556
fontforge,truetype font editor,13985256,1554594493,1551707981
monero,DESC-TODO,11227044,1519087883,1442232232
jupp,DESC-TODO,465769,1477828487,1397589548
base-dev,DESC-TODO,,1551892243,1316397394
voc,DESC-TODO,1156246,1480598049,1438825131
fontsproto,DESC-TODO,154087,1449602997,1311106590
sabotage-core,DESC-TODO,,1562823999,1462499139
mono,open-source implementation of the .NET Framework runtime and compiler,154477308,1498353627,1498353627
